gameId,periodsMax,periodLengthREGULAR,periodLengthOVERTIME,inOT,attendance,team1Id,team1Code,team1Name,team1Score,team2Id,team2Code,team2Name,team2Score
2702592,4,10,5,0,0,,SHE,B. Braun Sheffield Sharks,101,,CHE,Cheshire Phoenix,97
2702593,4,10,5,0,0,,SUR,Surrey 89ers,88,,SHE,B. Braun Sheffield Sharks,77
2702594,4,10,5,0,0,,NEW,Newcastle Eagles,98,,LEI,Leicester Riders,85
2702595,4,10,5,0,1000,,Riders,Leicester Riders,85,,Flyers,Bristol Flyers,73
2702596,4,10,5,0,0,,BRI,Bristol Flyers,79,,LEI,Leicester Riders,84
2702597,4,10,5,0,0,,SUR,Surrey 89ers,79,,CHE,Cheshire Phoenix,101
2702598,4,10,5,0,750,,SUR,Surrey 89ers,82,,NEW,Newcastle Eagles,88
2702599,4,10,5,0,0,,MAN,Manchester Basketball,102,,NEW,Newcastle Eagles,98
2702600,4,10,5,0,0,,MAN,Manchester Basketball,94,,SUR,Surrey 89ers,80
2702601,4,10,5,0,0,,MAN,Manchester Basketball,84,,SHE,B. Braun Sheffield Sharks,106
2702602,4,10,5,0,0,,SHE,B. Braun Sheffield Sharks,83,,LON,London Lions,92
2702603,4,10,5,0,850,,CAL,Caledonia Gladiators,74,,LON,London Lions,82
2702604,4,10,5,0,0,,NEW,Newcastle Eagles,50,,LON,London Lions,76
2702605,4,10,5,0,0,,CHE,Cheshire Phoenix,100,,SUR,Surrey 89ers,90
2702606,4,10,5,0,1800,,Riders,Leicester Riders,75,,Lions,London Lions,83
2702607,4,10,5,0,1019,,CAL,Caledonia Gladiators,76,,CHE,Cheshire Phoenix,101
2702608,4,10,5,0,0,,LEI,Leicester Riders,102,,MAN,Manchester Basketball,95
2702609,4,10,5,1,0,,BRI,Bristol Flyers,86,,SUR,Surrey 89ers,87
2702610,4,10,5,0,1100,,CAL,Caledonia Gladiators,73,,SUR,Surrey 89ers,86
2702611,4,10,5,0,2600,,NEW,Newcastle Eagles,79,,CAL,Caledonia Gladiators,87
2702612,4,10,5,0,0,,Riders,Leicester Riders,80,,89ers,Surrey 89ers,89
2702613,4,10,5,0,0,,MAN,Manchester Basketball,80,,BRI,Bristol Flyers,85
2702614,4,10,5,0,0,,CHE,Cheshire Phoenix,101,,NEW,Newcastle Eagles,98
2702615,4,10,5,0,0,,CHE,Cheshire Phoenix,116,,MAN,Manchester Basketball,90
2702616,4,10,5,0,0,,LON,London Lions,81,,CAL,Caledonia Gladiators,73
2702617,4,10,5,0,0,,BRI,Bristol Flyers,77,,SHE,B. Braun Sheffield Sharks,67
2702618,4,10,5,0,1350,,CAL,Caledonia Gladiators,75,,MAN,Manchester Basketball,88
2702619,4,10,5,1,0,,NEW,Newcastle Eagles,83,,BRI,Bristol Flyers,85
2702620,4,10,5,0,0,,CHE,Cheshire Phoenix,98,,MAN,Manchester Basketball,99
2702621,4,10,5,0,0,,CHE,Cheshire Phoenix,106,,SUR,Surrey 89ers,84
2702622,4,10,5,0,1000,,SUR,Surrey 89ers,89,,LON,London Lions,80
2702623,4,10,5,0,0,,LEI,Leicester Riders,102,,NEW,Newcastle Eagles,100
2702624,4,10,5,0,350,,MAN,Manchester Basketball,83,,CAL,Caledonia Gladiators,84
2702625,4,10,5,0,0,,LON,London Lions,71,,MAN,Manchester Basketball,72
