country,league,season,scraped_at,Player,player_url,player_name,Nationality,height,position,age,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT_pct,2PA,2PM,2P_pct,3PA,3PM,3P_pct,TO,team,team_abbrev,team_url
Germany,ProA,2025-2026,2026-05-07T15:45:14.899763,Sanders Isaiah 196-G/F-26,https://basketball.eurobasket.com/player/Sanders-Isaiah/391753,Isaiah Sanders,USA,196,G/F,26,17,5.3,16.6,9.2,1.1,0.4,0.7,1.1,0.1,0.8,2.5,2.1,1.6,76.2,2.5,1.2,48.0,3.1,1.1,35.5,0.8,Tuebingen,TUEB,https://basketball.eurobasket.com/team/Tigers-Tuebingen/447
Germany,ProA,2025-2026,2026-05-07T15:45:15.155729,Schmidt Devin 193-G-31,https://basketball.eurobasket.com/player/Schmidt-Devin/306830,Devin Schmidt,,193,G,31,26,12.0,20.6,15.3,2.8,0.7,2.1,3.2,0.1,1.4,2.8,2.1,1.8,85.7,5.2,3.1,59.6,5.7,2.4,42.1,2.2,Phoenix Hagen,PHOE,https://basketball.eurobasket.com/team/Phoenix-Hagen/2480
Germany,ProA,2025-2026,2026-05-07T15:45:15.411705,Schmitz Nils 188-PG-25,https://basketball.eurobasket.com/player/Schmitz-Nils/440539,Nils Schmitz,GER,188,PG,25,26,1.5,16.2,3.1,1.9,0.3,1.6,1.3,0.0,0.3,1.8,1.3,0.7,53.8,1.5,0.7,46.7,1.4,0.3,21.4,0.7,Goettingen,GOET,https://basketball.eurobasket.com/team/BG-Goettingen/214
Germany,ProA,2025-2026,2026-05-07T15:45:15.669426,Schnelle Tim 203-C-19,https://basketball.eurobasket.com/player/Schnelle-Tim/665453,Tim Schnelle,GER,203,C,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,,,
Germany,ProA,2025-2026,2026-05-07T15:45:15.923403,Schultze Nicola 196-F/G-19,https://basketball.eurobasket.com/player/Schultze-Nicola/710598,Nicola Schultze,GER,196,F/G,19,3,0.7,4.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.7,70.0,0.0,Phoenix Hagen,PHOE,https://basketball.eurobasket.com/team/Phoenix-Hagen/2480
Germany,ProA,2025-2026,2026-05-07T15:45:16.181998,Schwanenberg Neil 184-G-20,https://basketball.eurobasket.com/player/Schwanenberg-Neil/665566,Neil Schwanenberg,GER,184,G,20,5,-0.2,1.6,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.2,25.0,0.2,0.2,100.0,0.2,0.0,0.0,0.2,Kirchheim,KIRC,https://basketball.eurobasket.com/team/Bozic-Estriche-Knights-Kirchheim/4190
Germany,ProA,2025-2026,2026-05-07T15:45:16.430963,Schwieger Ryan 198-G-27,https://basketball.eurobasket.com/player/Schwieger-Ryan/431391,Ryan Schwieger,USA,198,G,27,6,6.5,15.2,6.7,3.0,0.5,2.5,1.8,0.0,0.5,1.7,1.3,1.3,100.0,2.0,1.2,60.0,2.7,1.0,37.0,1.3,Phoenix Hagen,PHOE,https://basketball.eurobasket.com/team/Phoenix-Hagen/2480
Germany,ProA,2025-2026,2026-05-07T15:45:16.695478,Sears Jordan 180-PG-25,https://basketball.eurobasket.com/player/Sears-Jordan/558610,Jordan Sears,USA,180,PG,25,27,11.3,24.0,15.9,3.6,0.7,2.9,3.2,0.4,1.1,2.5,3.4,2.9,85.3,6.4,3.0,46.9,6.4,2.3,35.9,2.4,Goettingen,GOET,https://basketball.eurobasket.com/team/BG-Goettingen/214
Germany,ProA,2025-2026,2026-05-07T15:45:16.939526,Shahid Vinnie 180-PG-28,https://basketball.eurobasket.com/player/Shahid-Vinnie/429145,Vinnie Shahid,USA,180,PG,28,18,6.7,20.1,12.1,2.0,0.3,1.7,2.7,0.1,0.8,2.7,3.6,2.8,77.8,3.8,1.5,39.5,6.1,2.1,34.4,1.2,Crailsheim,CRAI,https://basketball.eurobasket.com/team/HAKRO-Merlins-Crailsheim/2315
Germany,ProA,2025-2026,2026-05-07T15:45:17.187974,Silic Matej 188-PG-23,https://basketball.eurobasket.com/player/Silic-Matej/525912,Matej Silic,CRO,188,PG,23,24,1.8,15.7,5.2,2.1,0.3,1.8,0.8,0.0,0.3,1.8,1.8,1.3,72.2,2.9,1.3,44.8,2.0,0.5,25.0,1.1,Paderborn,PADE,https://basketball.eurobasket.com/team/Gartenzaun24-Baskets-Paderborn/222
Germany,ProA,2025-2026,2026-05-07T15:45:17.440581,Smith Jr. Tim 201-F-25,https://basketball.eurobasket.com/player/Smith-Jr--Tim/505676,Tim Smith Jr.,USA,201,F,25,24,10.3,24.1,14.0,3.8,2.0,1.9,1.0,0.4,0.3,3.2,2.1,1.9,90.5,5.3,3.1,58.5,4.1,2.0,48.8,1.5,Koblenz,KOBL,https://basketball.eurobasket.com/team/EPG-Guardians-Koblenz/19922
Germany,ProA,2025-2026,2026-05-07T15:45:17.702552,Sonnefeld Jannis 207-PF-23,https://basketball.eurobasket.com/player/Sonnefeld-Jannis/451816,Jannis Sonnefeld,GER,207,PF,23,20,2.5,14.4,5.3,2.9,1.2,1.7,0.4,0.3,0.6,3.2,2.0,1.4,70.0,2.5,1.5,60.0,1.4,0.3,21.4,1.0,Koblenz,KOBL,https://basketball.eurobasket.com/team/EPG-Guardians-Koblenz/19922
Germany,ProA,2025-2026,2026-05-07T15:45:17.957333,Spinoso Nick 206-F/C-23,https://basketball.eurobasket.com/player/Spinoso-Nick/601394,Nick Spinoso,USA,206,F/C,23,26,5.8,18.8,7.6,4.5,1.2,3.3,1.3,0.3,0.4,2.3,2.0,0.9,45.0,5.9,3.3,55.9,0.5,0.0,0.0,2.0,Kirchheim,KIRC,https://basketball.eurobasket.com/team/Bozic-Estriche-Knights-Kirchheim/4190
Germany,ProA,2025-2026,2026-05-07T15:45:18.210326,Stewart Trey 188-G-25,https://basketball.eurobasket.com/player/Stewart-Trey/499966,Trey Stewart,USA,188,G,25,27,5.9,22.7,8.7,2.6,1.1,1.5,1.1,0.7,1.4,2.6,2.6,2.1,80.8,4.0,2.1,52.5,2.9,0.8,27.6,1.5,Wolmirstedt,WOLM,https://basketball.eurobasket.com/team/SBB-Baskets-Wolmirstedt/3362
Germany,ProA,2025-2026,2026-05-07T15:45:18.502656,Stief Alexander 198-F-22,https://basketball.eurobasket.com/player/Stief-Alexander/665701,Alexander Stief,GER,198,F,22,2,2.0,1.5,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,100.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,Kirchheim,KIRC,https://basketball.eurobasket.com/team/Bozic-Estriche-Knights-Kirchheim/4190
Germany,ProA,2025-2026,2026-05-07T15:45:18.816048,Stoiber Tom 205-F-20,https://basketball.eurobasket.com/player/Stoiber-Tom/665572,Tom Stoiber,GER,205,F,20,27,7.4,21.1,7.0,4.1,0.9,3.3,1.0,0.2,0.4,1.7,1.9,1.4,73.7,2.7,1.7,63.0,2.1,0.6,28.6,0.6,Nuernberg,NUER,https://basketball.eurobasket.com/team/Nuernberg-Falcons-BC/6211
Germany,ProA,2025-2026,2026-05-07T15:45:19.099275,Strange Matthew 180-PG-27,https://basketball.eurobasket.com/player/Strange-Matthew/451335,Matthew Strange,USA,180,PG,27,24,0.3,10.1,2.8,0.7,0.3,0.4,0.3,0.0,0.1,1.5,0.2,0.2,100.0,0.3,0.1,33.3,2.4,0.8,33.3,0.4,Bochum,BOCH,https://basketball.eurobasket.com/team/VfL-SparkassenStars-Bochum/1639
Germany,ProA,2025-2026,2026-05-07T15:45:19.396494,Stuckey Maurice 186-SG-36,https://basketball.eurobasket.com/player/Stuckey-Maurice/102952,Maurice Stuckey,GER,186,SG,36,9,1.2,8.9,3.6,0.8,0.0,0.8,0.7,0.0,0.6,1.8,0.7,0.6,85.7,0.4,0.3,75.0,2.7,0.8,29.6,0.4,Crailsheim,CRAI,https://basketball.eurobasket.com/team/HAKRO-Merlins-Crailsheim/2315
Germany,ProA,2025-2026,2026-05-07T15:45:19.669769,Sturdivant Kyle 190-G-25,https://basketball.eurobasket.com/player/Sturdivant-Kyle/427957,Kyle Sturdivant,USA,190,G,25,4,11.5,20.0,14.3,2.3,0.5,1.8,3.8,0.0,0.5,1.0,2.5,1.8,72.0,7.0,4.0,57.1,4.3,1.5,34.9,1.8,Bayreuth,BAYR,https://basketball.eurobasket.com/team/BBC-Bayreuth/134
Germany,ProA,2025-2026,2026-05-07T15:45:19.966100,Taylor Deshon 188-G-30,https://basketball.eurobasket.com/player/Taylor-Deshon/342431,Deshon Taylor,USA,188,G,30,4,0.0,18.8,5.0,1.8,0.3,1.5,2.3,0.0,0.3,3.3,2.8,2.3,82.1,2.3,0.3,13.0,2.5,0.8,32.0,1.8,Muenster,MUEN,https://basketball.eurobasket.com/team/Uni-Baskets-Muenster/51
Germany,ProA,2025-2026,2026-05-07T15:45:20.257541,Taylor Evan 196-G-30,https://basketball.eurobasket.com/player/Taylor-Evan/335102,Evan Taylor,USA,196,G,30,26,9.3,24.6,12.0,3.9,0.7,3.2,2.2,0.2,0.9,2.3,3.0,2.4,80.0,6.3,3.0,47.6,3.0,1.1,36.7,1.7,Nuernberg,NUER,https://basketball.eurobasket.com/team/Nuernberg-Falcons-BC/6211
Germany,ProA,2025-2026,2026-05-07T15:45:20.568468,Teichmann Grant 191-SG-30,https://basketball.eurobasket.com/player/Teichmann-Grant/382447,Grant Teichmann,,191,SG,30,27,3.9,23.4,7.0,1.7,0.5,1.2,1.5,0.0,0.4,2.6,0.8,0.4,50.0,1.4,0.9,64.3,4.3,1.6,37.2,0.5,Paderborn,PADE,https://basketball.eurobasket.com/team/Gartenzaun24-Baskets-Paderborn/222
Germany,ProA,2025-2026,2026-05-07T15:45:20.861743,Tention Miles 196-G-27,https://basketball.eurobasket.com/player/Tention-Miles/424708,Miles Tention,USA,196,G,27,23,6.3,26.2,8.3,2.4,0.4,2.0,3.6,0.0,0.9,2.1,1.3,1.0,76.9,2.3,1.0,43.5,4.8,1.6,33.3,2.0,Tuebingen,TUEB,https://basketball.eurobasket.com/team/Tigers-Tuebingen/447
Germany,ProA,2025-2026,2026-05-07T15:45:21.209271,Tevzic Nejc 180-PG-20,https://basketball.eurobasket.com/player/Tevzic-Nejc/735838,Nejc Tevzic,SLO,180,PG,20,2,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,Giessen 46ers,GIES,https://basketball.eurobasket.com/team/Giessen-46ers/133
Germany,ProA,2025-2026,2026-05-07T15:45:21.470680,Thomas Larry 188-PG-32,https://basketball.eurobasket.com/player/Thomas-Larry/245551,Larry Thomas,USA,188,PG,32,3,0.0,15.7,2.3,0.7,0.0,0.7,3.7,0.0,1.0,2.3,0.7,0.3,42.9,1.7,0.0,0.0,3.0,0.7,23.3,1.0,Tuebingen,TUEB,https://basketball.eurobasket.com/team/Tigers-Tuebingen/447
