Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
BC Prievidza,Anderson Sage Tolbert Iii,1,Anderson Sage Tolbert Iii,40,29.4,1174.5,503.0,12.6,192.0,377.0,50.9,15.0,76.0,19.7,104.0,165.0,63,88.0,172.0,260.0,80.0,46.0,14.0,66.0,93.0,410.5,18.3,22.5,3.6,11.6,199,702.0,17.6,31.4,6,2.0,3,4,63.0,5.8,3,1.99,-2.98,4.97,3.5,3.0,186.0,118.0,63.4,46.0,16.0,34.8,1.0,0.0,0,22.0,24.0,2.0,18.0,60.0,55.0,84.0
Spišskí Rytieri,Samuel Kincel,42,Samuel Kincel,40,16.6,663.9,189.0,4.7,76.0,145.0,52.4,6.0,21.0,28.6,31.0,45.0,68.9,49.0,91.0,140.0,20.0,12.0,5.0,40.0,89.0,149.6,11.9,15.1,1.6,11.2,52,241.0,6.0,19.2,0,0.0,1,0,0.0,1.0,1,-5.64,-5.77,0.13,4.1,4.3,52.0,36.0,69.2,8.0,3.0,37.5,0.0,0.0,0,14.0,14.0,2.0,10.0,31.0,9.0,28.0
Spišskí Rytieri,Isaiah Malik Hill,3,Isaiah Malik Hill,39,31.7,1236.2,747.0,19.2,238.0,561.0,42.4,91.0,242.0,37.6,180.0,222.0,81.1,27.0,103.0,130.0,229.0,39.0,3.0,120.0,121.0,721.6,30.9,32.0,9.8,5.6,542,1289.0,33.1,55.2,41,3.7,28,16,58.5,39.0,11,0.69,1.18,-0.49,1.4,1.0,82.0,48.0,58.5,58.0,28.0,48.3,35.0,21.0,60,71.0,32.0,0.0,17.0,74.0,64.0,92.0
Spišskí Rytieri,Caleb Jamerson Kenney,8,Caleb Jamerson Kenney,39,32.3,1259.8,607.0,15.6,254.0,402.0,63.2,2.0,9.0,22.2,97.0,143.0,67.8,125.0,237.0,362.0,78.0,32.0,45.0,78.0,99.0,401.2,16.8,25.5,3.3,15.2,176,783.0,20.1,32.9,18,2.0,9,5,80.4,11.2,9,1.85,0.06,1.79,5.0,2.5,184.0,131.0,71.2,28.0,18.0,64.3,0.0,0.0,0,31.0,25.0,1.0,21.0,107.0,50.0,62.0
Spišskí Rytieri,Juraj Páleník,26,Juraj Páleník,39,25.0,975.6,347.0,8.9,119.0,293.0,40.6,72.0,198.0,36.4,37.0,44.0,84.1,28.0,74.0,102.0,47.0,19.0,15.0,43.0,80.0,314.3,17.0,18.8,2.6,5.5,114,461.0,11.8,25.0,3,0.6,7,1,20.2,7.4,5,-2.74,-2.67,-0.06,3.0,3.9,41.0,26.0,63.4,10.0,4.0,40,3.0,0.0,0,30.0,12.0,0.0,1.0,29.0,35.0,57.0
BC Prievidza,Dávid Novák,10,Dávid Novák,39,17.0,663.6,173.0,4.4,62.0,161.0,38.5,19.0,67.0,28.4,30.0,51.0,58.8,24.0,89.0,113.0,30.0,25.0,15.0,35.0,59.0,186.7,14.7,13.7,2.4,9.0,69,242.0,6.2,19.2,3,1.5,1,5,46.9,3.2,2,-1.58,-6.59,5.01,3.4,4.5,64.0,35.0,54.7,6.0,2.0,33.3,1.0,1.0,100,23.0,11.0,0.0,1.0,15.0,26.0,42.0
BC Prievidza,Patrik Hričo,7,Patrik Hričo,39,3.3,129.1,32.0,0.8,15.0,32.0,46.9,1.0,12.0,8.3,1.0,2.0,50,3.0,14.0,17.0,14.0,8.0,0.0,11.0,14.0,39.2,15.9,13.0,5.7,6.9,25,57.0,1.5,23.2,0,0,0,0,0,0.0,0,-2.15,-7.9,5.75,2.2,3.6,17.0,13.0,76.5,2.0,1.0,50,0.0,0.0,0,3.0,7.0,0.0,1.0,6.0,6.0,13.0
BC Prievidza,Davontrey Shauni Zhmere Thomas,4,Davontrey Shauni Zhmere Thomas,38,29.0,1102.0,596.0,15.7,202.0,464.0,43.5,89.0,232.0,38.4,103.0,139.0,74.1,55.0,104.0,159.0,66.0,38.0,11.0,66.0,73.0,514.7,24.5,28.4,3.1,7.6,154,750.0,19.7,35.8,6,1.2,7,0,42.9,9.0,5,3.17,-0.69,3.86,2.9,2.6,131.0,74.0,56.5,41.0,23.0,56.1,11.0,2.0,18.2,20.0,39.0,0.0,7.0,80.0,103.0,95.0
BC Komárno,Elijah Gregory Ormiston,20,Elijah Gregory Ormiston,38,23.4,889.0,424.0,11.2,169.0,273.0,61.9,6.0,21.0,28.6,80.0,107.0,74.8,68.0,170.0,238.0,63.0,28.0,23.0,47.0,82.0,287.1,17.0,25.1,3.7,14.1,141,565.0,14.9,33.5,18,2.0,7,7,89.3,11.1,9,5.45,0.46,4.99,4.6,2.1,162.0,116.0,71.6,20.0,10.0,50,0.0,0.0,0,17.0,18.0,2.0,10.0,85.0,48.0,59.0
Spišskí Rytieri,Jan Balogáč,78,Jan Balogáč,38,6.7,253.0,81.0,2.1,29.0,82.0,35.4,20.0,66.0,30.3,3.0,7.0,42.9,4.0,36.0,40.0,8.0,10.0,0.0,12.0,45.0,89.4,18.7,17.0,1.7,8.4,21,102.0,2.7,21.4,0,0,0,0,0,0.0,0,-6.62,-7.22,0.6,3.2,4.7,6.0,3.0,50,2.0,1.0,50,1.0,1.0,100,5.0,4.0,0.0,3.0,5.0,9.0,16.0
