# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 423
# Qualified players exported: 297
# Total stints used: 12800
# Garbage time stints excluded: 459
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
BSW Sixers,13,Paul Schwabe,335,-0.99,-0.87,-1.86
VR-Bank Würzburg Baskets Akademie,13,Christoph Philipps,329,-1.61,-0.26,-1.87
OrangeAcademy,12,Milo Alexander Murray,387,-2.93,1.04,-1.9
LOK BERNAU,11,Richard Schmitt,697,-1.61,-0.28,-1.9
Ahorn Camp Baskets,14,Oluwadamilola Ade-Eri,653,0.03,-1.95,-1.92
CATL Basketball Löwen,3,Léonar Fliege,325,-2.17,0.23,-1.93
VR-Bank Würzburg Baskets Akademie,10,David Pisic,568,-1.21,-0.74,-1.96
OrangeAcademy,9,Lenni Kunzewitsch,939,-0.8,-1.17,-1.97
Hertener Löwen,10,Gilbert Kofi Gyamfi,1074,-2.36,0.38,-1.98
SKYLINERS Juniors,16,Marvin Esser,276,-1.68,-0.34,-2.01
RASTA Vechta II,5,Djairo Bernardina,299,-3.04,1.0,-2.05
SC Rist Wedel,33,Lincoln James Rosebush,1052,0.92,-2.97,-2.05
TSV Oberhaching Tropics,4,Frederik Müller,1257,-0.41,-1.67,-2.08
Itzehoe Eagles,3,Sven Cikara,1281,0.08,-2.2,-2.12
FC Bayern Basketball II,45,Giovanni Alessio Calamita,669,-1.49,-0.64,-2.13
Dragons Rhöndorf,15,Jorge Mejias Sanchez,1129,1.97,-4.15,-2.18
RASTA Vechta II,3,Tristan Gutersohn,660,-0.18,-2.04,-2.22
CATL Basketball Löwen,22,Luke-Johan Kiraly,255,-1.12,-1.11,-2.23
Hertener Löwen,21,Tim Elkenhans,592,-3.25,0.99,-2.26
TV Langen,4,Jacob Kumal Washington,1187,0.11,-2.38,-2.27
CATL Basketball Löwen,9,Paul Albrecht,1264,-1.13,-1.17,-2.3
RASTA Vechta II,2,Epke Kruthaup,1063,-0.91,-1.41,-2.32
Dragons Rhöndorf,1,Carlo Schmid,827,-2.25,-0.12,-2.36
Iserlohn Kangaroos,16,Kevin Strangmeyer,910,-1.56,-0.89,-2.45
RASTA Vechta II,16,Fynn Lastring,652,-0.75,-1.72,-2.47
Baskets Juniors TSG Westerstede,21,Joel Harms,767,-2.52,0.05,-2.47
RASTA Vechta II,6,Johannes Hellmann,483,-0.48,-2.01,-2.48
SKYLINERS Juniors,43,Florian Dietrich,741,-1.11,-1.41,-2.52
RASTA Vechta II,0,Aula Maarufu Sumbry,884,0.14,-2.7,-2.56
TV Langen,42,Fabian Baumgarten,361,-1.5,-1.11,-2.61
TKS 49ers,7,Carlo Meyer,898,-2.07,-0.57,-2.64
BG Hessing Leitershofen,11,Ferenc Gille,633,-1.24,-1.45,-2.69
BSW Sixers,7,Jarne Jürgens,770,-2.5,-0.25,-2.75
VR-Bank Würzburg Baskets Akademie,13,Lucas Veller,327,-1.08,-1.71,-2.79
TKS 49ers,22,Joshua Lübken,828,-1.51,-1.32,-2.82
SV Fellbach Flashers,4,Mateus Rodrigues Rocha,1064,-1.0,-1.83,-2.83
BBC Coburg,38,Finn Döntgens,614,-0.53,-2.32,-2.86
BG Hessing Leitershofen,14,Clint Hamann,974,-2.27,-0.59,-2.86
Itzehoe Eagles,9,Lucien Schmikale,1549,-0.73,-2.16,-2.89
Seawolves Academy,3,Benedict Baumgarth,550,-1.75,-1.15,-2.9
SV Fellbach Flashers,21,Nelson Okafor,1019,-3.64,0.7,-2.95
TSV Neustadt temps Shooters,32,Robin Michael Kniss,796,-2.6,-0.36,-2.96
Porsche BBA Ludwigsburg,9,Armin Pivac,288,-1.66,-1.33,-2.99
Seawolves Academy,6,Luis Wulff,432,-1.91,-1.18,-3.09
CATL Basketball Löwen,7,Ivan Kucan,549,1.23,-4.37,-3.13
